Size	Merge Sort	QUICK sORT 
36700	0.005160	0.005187
36800	0.005476	0.004877
36900	0.005256	0.004976
37000	0.005171	0.005024
37100	0.005810	0.005220
37200	0.005844	0.004966
37300	0.005328	0.005016
37400	0.005205	0.005050
37500	0.005864	0.005123
37600	0.005303	0.005240
37700	0.005269	0.005309
37800	0.005566	0.005060
37900	0.005380	0.005042
38000	0.005308	0.005337
38100	0.005392	0.004837
38200	0.005195	0.004985
38300	0.005133	0.004954
38400	0.005502	0.004862
38500	0.005177	0.005552
38600	0.005221	0.004911
38700	0.005622	0.005129
38800	0.005589	0.005200
38900	0.005720	0.005466
39000	0.005522	0.005009
39100	0.005380	0.005184
39200	0.005252	0.005427
39300	0.005458	0.005246
39400	0.005433	0.005634
39500	0.005896	0.005466
39600	0.005534	0.005313
39700	0.005577	0.005493
39800	0.005621	0.005487
39900	0.006161	0.005603
40000	0.005583	0.006422
40100	0.005468	0.005823
40200	0.005897	0.005317
40300	0.005867	0.005379
40400	0.005646	0.005721
40500	0.005810	0.005415
40600	0.005949	0.005391
40700	0.005692	0.005464
40800	0.005704	0.005395
40900	0.006000	0.006691
41000	0.005926	0.005565
41100	0.005796	0.005561
41200	0.005839	0.005532
41300	0.005881	0.005538
41400	0.005942	0.005725
41500	0.005916	0.005584
41600	0.006014	0.005602
41700	0.005827	0.005500
41800	0.005904	0.005636
41900	0.006039	0.005660
42000	0.005837	0.005985
42100	0.005988	0.005822
42200	0.006606	0.005620
42300	0.006416	0.006303
42400	0.005989	0.006023
42500	0.005918	0.006446
42600	0.005980	0.005438
42700	0.006444	0.005851
42800	0.006374	0.005856
42900	0.006275	0.006371
43000	0.006130	0.005678
43100	0.006712	0.005750
43200	0.006553	0.006015
43300	0.006149	0.005918
43400	0.006173	0.005957
43500	0.006236	0.006066
43600	0.006565	0.006331
43700	0.006248	0.006154
43800	0.006580	0.005880
43900	0.006286	0.005937
44000	0.007159	0.006256
44100	0.006236	0.006685
44200	0.006372	0.005935
44300	0.006372	0.005887
44400	0.006324	0.006008
44500	0.006292	0.006048
44600	0.006327	0.006039
44700	0.006495	0.005885
44800	0.007150	0.006596
44900	0.006481	0.006078
45000	0.006739	0.006304
45100	0.006482	0.006209
45200	0.006737	0.006087
45300	0.006442	0.006132
45400	0.006466	0.006449
45500	0.006479	0.006005
45600	0.006468	0.006467
45700	0.006373	0.006339
45800	0.006949	0.006193
45900	0.006903	0.006292
46000	0.007200	0.006270
